duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,target
52,2949,2,0,18,4,1,>=200,existing paid,repairs,<100,>=7,male div/sep,none,no property,none,for free,skilled,yes,no,0
15,4551,2,0,18,2,2,0<=X<200,delayed,domestic appliance,unknown,>=7,male single,guarantor,car,bank,own,skilled,yes,yes,0
72,1242,3,2,48,2,1,0<=X<200,critical,education,<100,>=7,male div/sep,none,no property,none,own,skilled,no,no,0
61,3697,1,0,34,4,2,<0,delayed,furniture,>=1000,4<=X<7,male single,none,no property,none,for free,unskilled resident,yes,no,0
21,3302,3,3,43,2,2,>=200,existing paid,radio/tv,unknown,>=7,male mar/wid,co-applicant,real estate,none,for free,highly skilled,yes,no,0
24,1507,4,4,34,3,2,no checking,critical,radio/tv,100<=X<500,>=7,male single,none,car,bank,for free,skilled,no,no,0
3,1135,4,4,42,2,1,0<=X<200,delayed,retraining,unknown,>=7,female div/dep/mar,co-applicant,real estate,none,own,skilled,no,no,0
22,4533,2,4,35,2,1,<0,critical,radio/tv,unknown,>=7,male single,none,real estate,none,own,unskilled resident,no,no,0
53,4474,1,1,29,4,1,no checking,all paid,furniture,unknown,>=7,male div/sep,none,no property,none,own,skilled,yes,no,0
2,3486,1,0,47,4,1,0<=X<200,existing paid,repairs,<100,4<=X<7,male single,none,no property,none,own,skilled,yes,no,1
30,5416,4,3,37,1,1,0<=X<200,existing paid,other,unknown,>=7,male div/sep,none,no property,none,own,skilled,no,no,0
38,3822,3,1,42,1,2,no checking,all paid,car new,unknown,>=7,male single,none,no property,none,own,highly skilled,yes,no,0
2,4833,2,2,36,4,2,no checking,delayed,car new,100<=X<500,>=7,male div/sep,co-applicant,no property,none,own,unskilled resident,yes,no,0
64,3796,3,3,29,2,2,>=200,all paid,car used,<100,1<=X<4,male single,co-applicant,no property,stores,own,highly skilled,yes,no,1
60,2926,3,3,54,2,2,>=200,all paid,domestic appliance,100<=X<500,<1,male single,none,no property,none,own,skilled,no,no,1
21,1949,3,3,39,1,2,0<=X<200,delayed,car new,unknown,<1,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
33,2516,1,4,30,1,2,<0,existing paid,car new,100<=X<500,>=7,male single,co-applicant,no property,none,own,highly skilled,no,yes,1
58,2949,4,3,50,1,2,no checking,no credits,radio/tv,unknown,>=7,male single,none,car,none,own,skilled,yes,no,0
22,4974,1,0,19,3,1,<0,existing paid,radio/tv,<100,unemployed,male mar/wid,none,no property,none,own,skilled,no,no,0
49,4233,4,3,61,3,2,>=200,existing paid,car new,unknown,>=7,male mar/wid,none,life insurance,bank,rent,highly skilled,no,no,0
59,3683,2,4,32,1,1,no checking,no credits,retraining,<100,>=7,male div/sep,co-applicant,no property,none,own,skilled,yes,no,0
42,4358,2,3,19,2,2,no checking,delayed,other,<100,>=7,male single,none,no property,none,own,skilled,yes,no,0
60,3930,3,2,57,1,2,0<=X<200,existing paid,domestic appliance,500<=X<1000,4<=X<7,male single,none,life insurance,none,for free,highly skilled,no,no,1
